,0,1,2,3
0,-0.013634807722446365,-0.013634807722446365,-0.013634807722446365,-0.013634807722446365
1,-0.013038192293012903,-0.013038192293012903,-0.013038192293012903,-0.013038192293012903
2,-0.012465439827077634,-0.012465439827077634,-0.012465439827077634,-0.012465439827077634
3,-0.011915716328966269,-0.011915716328966269,-0.011915716328966269,-0.011915716328966269
4,-0.011388210577012477,-0.011388210577012477,-0.011388210577012477,-0.011388210577012477
5,-0.010882133843935627,-0.010882133843935627,-0.010882133843935627,-0.010882133843935627
6,-0.010396719599823204,-0.010396719599823204,-0.010396719599823204,-0.010396719599823204
7,-0.00993122319928952,-0.00993122319928952,-0.00993122319928952,-0.00993122319928952
8,-0.0094849215543168,-0.0094849215543168,-0.0094849215543168,-0.0094849215543168
9,-0.009057112794220175,-0.009057112794220175,-0.009057112794220175,-0.009057112794220175
10,-0.008647115914114137,-0.008647115914114137,-0.008647115914114137,-0.008647115914114137
11,-0.00825427041319501,-0.00825427041319501,-0.00825427041319501,-0.00825427041319501
12,-0.007877935924092184,-0.007877935924092184,-0.007877935924092184,-0.007877935924092184
13,-0.007517491834479912,-0.007517491834479912,-0.007517491834479912,-0.007517491834479912
14,-0.007172336902081936,-0.007172336902081936,-0.007172336902081936,-0.007172336902081936
15,-0.0068418888641429,-0.0068418888641429,-0.0068418888641429,-0.0068418888641429
16,-0.006525584042383438,-0.006525584042383438,-0.006525584042383438,-0.006525584042383438
17,-0.006222876944400344,-0.006222876944400344,-0.006222876944400344,-0.006222876944400344
18,-0.005933239862419044,-0.005933239862419044,-0.005933239862419044,-0.005933239862419044
19,-0.0056561624702529765,-0.0056561624702529765,-0.0056561624702529765,-0.0056561624702529765
20,-0.005391151419273359,-0.005391151419273359,-0.005391151419273359,-0.005391151419273359
21,-0.0051377299341433,-0.0051377299341433,-0.0051377299341433,-0.0051377299341433
22,-0.004895437409022168,-0.004895437409022168,-0.004895437409022168,-0.004895437409022168
23,-0.0046638290048998205,-0.0046638290048998205,-0.0046638290048998205,-0.0046638290048998205
24,-0.004442475248675427,-0.004442475248675427,-0.004442475248675427,-0.004442475248675427
25,-0.004230961634552456,-0.004230961634552456,-0.004230961634552456,-0.004230961634552456
26,-0.004028888228279827,-0.004028888228279827,-0.004028888228279827,-0.004028888228279827
27,-0.0038358692747292016,-0.0038358692747292016,-0.0038358692747292016,-0.0038358692747292016
28,-0.0036515328092599888,-0.0036515328092599888,-0.0036515328092599888,-0.0036515328092599888
29,-0.0034755202732868282,-0.0034755202732868282,-0.0034755202732868282,-0.0034755202732868282
30,-0.003307486134429013,-0.003307486134429013,-0.003307486134429013,-0.003307486134429013
31,-0.0031470975115875893,-0.0031470975115875893,-0.0031470975115875893,-0.0031470975115875893
32,-0.002994033805263647,-0.002994033805263647,-0.002994033805263647,-0.002994033805263647
33,-0.002847986333400584,-0.002847986333400584,-0.002847986333400584,-0.002847986333400584
34,-0.00270865797300384,-0.00270865797300384,-0.00270865797300384,-0.00270865797300384
35,-0.0025757628077637826,-0.0025757628077637826,-0.0025757628077637826,-0.0025757628077637826
36,-0.002449025781880959,-0.002449025781880959,-0.002449025781880959,-0.002449025781880959
37,-0.0023281823602678826,-0.0023281823602678826,-0.0023281823602678826,-0.0023281823602678826
38,-0.0022129781952777592,-0.0022129781952777592,-0.0022129781952777592,-0.0022129781952777592
39,-0.0021031688000881423,-0.0021031688000881423,-0.0021031688000881423,-0.0021031688000881423
40,-0.0019985192288463,-0.0019985192288463,-0.0019985192288463,-0.0019985192288463
41,-0.001898803763663135,-0.001898803763663135,-0.001898803763663135,-0.001898803763663135
42,-0.0018038056085237222,-0.0018038056085237222,-0.0018038056085237222,-0.0018038056085237222
43,-0.0017133165901648956,-0.0017133165901648956,-0.0017133165901648956,-0.0017133165901648956
44,-0.001627136865953812,-0.001627136865953812,-0.001627136865953812,-0.001627136865953812
45,-0.0015450746387859536,-0.0015450746387859536,-0.0015450746387859536,-0.0015450746387859536
46,-0.0014669458790066234,-0.0014669458790066234,-0.0014669458790066234,-0.0014669458790066234
47,-0.0013925740533465608,-0.0013925740533465608,-0.0013925740533465608,-0.0013925740533465608
48,-0.0013217898608498175,-0.0013217898608498175,-0.0013217898608498175,-0.0013217898608498175
49,-0.0012544309757604906,-0.0012544309757604906,-0.0012544309757604906,-0.0012544309757604906
50,-0.001190341797324208,-0.001190341797324208,-0.001190341797324208,-0.001190341797324208
51,-0.0011293732064504322,-0.0011293732064504322,-0.0011293732064504322,-0.0011293732064504322
52,-0.0010713823291725886,-0.0010713823291725886,-0.0010713823291725886,-0.0010713823291725886
53,-0.001016232306834764,-0.001016232306834764,-0.001016232306834764,-0.001016232306834764
54,-0.0009637920729261563,-0.0009637920729261563,-0.0009637920729261563,-0.0009637920729261563
55,-0.0009139361364776169,-0.0009139361364776169,-0.0009139361364776169,-0.0009139361364776169
56,-0.0008665443719284265,-0.0008665443719284265,-0.0008665443719284265,-0.0008665443719284265
57,-0.0008215018153658864,-0.0008215018153658864,-0.0008215018153658864,-0.0008215018153658864
58,-0.0007786984670353338,-0.0007786984670353338,-0.0007786984670353338,-0.0007786984670353338
59,-0.0007380291000137881,-0.0007380291000137881,-0.0007380291000137881,-0.0007380291000137881
60,-0.0006993930749365588,-0.0006993930749365588,-0.0006993930749365588,-0.0006993930749365588
61,-0.0006626941606627766,-0.0006626941606627766,-0.0006626941606627766,-0.0006626941606627766
62,-0.0006278403607629136,-0.0006278403607629136,-0.0006278403607629136,-0.0006278403607629136
63,-0.0005947437457089096,-0.0005947437457089096,-0.0005947437457089096,-0.0005947437457089096
64,-0.0005633202906454894,-0.0005633202906454894,-0.0005633202906454894,-0.0005633202906454894
65,-0.0005334897186196192,-0.0005334897186196192,-0.0005334897186196192,-0.0005334897186196192
66,-0.0005051753491437827,-0.0005051753491437827,-0.0005051753491437827,-0.0005051753491437827
67,-0.0004783039519678288,-0.0004783039519678288,-0.0004783039519678288,-0.0004783039519678288
68,-0.000452805605933543,-0.000452805605933543,-0.000452805605933543,-0.000452805605933543
69,-0.00042861356278578585,-0.00042861356278578585,-0.00042861356278578585,-0.00042861356278578585
70,-0.000405664115814014,-0.000405664115814014,-0.000405664115814014,-0.000405664115814014
71,-0.00038389647319823087,-0.00038389647319823087,-0.00038389647319823087,-0.00038389647319823087
72,-0.00036325263593387484,-0.00036325263593387484,-0.00036325263593387484,-0.00036325263593387484
73,-0.0003436772802108441,-0.0003436772802108441,-0.0003436772802108441,-0.0003436772802108441
74,-0.0003251176441227384,-0.0003251176441227384,-0.0003251176441227384,-0.0003251176441227384
75,-0.0003075234185834717,-0.0003075234185834717,-0.0003075234185834717,-0.0003075234185834717
76,-0.00029084664232964584,-0.00029084664232964584,-0.00029084664232964584,-0.00029084664232964584
77,-0.0002750416008884683,-0.0002750416008884683,-0.0002750416008884683,-0.0002750416008884683
78,-0.0002600647293925269,-0.0002600647293925269,-0.0002600647293925269,-0.0002600647293925269
79,-0.00024587451912438756,-0.00024587451912438756,-0.00024587451912438756,-0.00024587451912438756
80,-0.00023243142767574802,-0.00023243142767574802,-0.00023243142767574802,-0.00023243142767574802
81,-0.00021969779260774846,-0.00021969779260774846,-0.00021969779260774846,-0.00021969779260774846
82,-0.00020763774850098845,-0.00020763774850098845,-0.00020763774850098845,-0.00020763774850098845
83,-0.00019621714728583573,-0.00019621714728583573,-0.00019621714728583573,-0.00019621714728583573
84,-0.00018540348174570613,-0.00018540348174570613,-0.00018540348174570613,-0.00018540348174570613
85,-0.00017516581208815027,-0.00017516581208815027,-0.00017516581208815027,-0.00017516581208815027
86,-0.00016547469548078509,-0.00016547469548078509,-0.00016547469548078509,-0.00016547469548078509
87,-0.0001563021184513494,-0.0001563021184513494,-0.0001563021184513494,-0.0001563021184513494
88,-0.00014762143205344,-0.00014762143205344,-0.00014762143205344,-0.00014762143205344
89,-0.0001394072897017796,-0.0001394072897017796,-0.0001394072897017796,-0.0001394072897017796
90,-0.0001316355875831885,-0.0001316355875831885,-0.0001316355875831885,-0.0001316355875831885
91,-0.00012428340755175603,-0.00012428340755175603,-0.00012428340755175603,-0.00012428340755175603
92,-0.00011732896241904298,-0.00011732896241904298,-0.00011732896241904298,-0.00011732896241904298
93,-0.00011075154355247896,-0.00011075154355247896,-0.00011075154355247896,-0.00011075154355247896
94,-0.00010453147069744605,-0.00010453147069744605,-0.00010453147069744605,-0.00010453147069744605
95,-9.86500439408588e-05,-9.86500439408588e-05,-9.86500439408588e-05,-9.86500439408588e-05
96,-9.308949773635501e-05,-9.308949773635501e-05,-9.308949773635501e-05,-9.308949773635501e-05
97,-8.783295691349814e-05,-8.783295691349814e-05,-8.783295691349814e-05,-8.783295691349814e-05
98,-8.286439459565732e-05,-8.286439459565732e-05,-8.286439459565732e-05,-8.286439459565732e-05
99,-7.816859195347181e-05,-7.816859195347181e-05,-7.816859195347181e-05,-7.816859195347181e-05
100,-7.37310997230197e-05,-7.37310997230197e-05,-7.37310997230197e-05,-7.37310997230197e-05
101,-6.953820141999404e-05,-6.953820141999404e-05,-6.953820141999404e-05,-6.953820141999404e-05
102,-6.557687818334e-05,-6.557687818334e-05,-6.557687818334e-05,-6.557687818334e-05
